description,port,status,tcp,udp
America's Army Massively multiplayer online game (MMO),1716,Unofficial,True,False
HP System Management Redirect to port 2381[citation needed],2301,Unofficial,True,False
ArmA multiplayer (default for server reporting) (default port for game +1),2303,Unofficial,False,True
ArmA multiplayer (default for game),2302,Unofficial,False,True
Halo: Combat Evolved multiplayer,2302,Unofficial,False,True
ArmA multiplayer (default for VoN) (default port for game +3),2305,Unofficial,False,True
PostgreSQL database system,5432,Official,True,True
Echo Protocol,7,Official,True,True
SSMP Message protocol,9110,Unofficial,False,True
id Software's Quake server,26000,Official,False,True
id Software's Quake server,26000,Official,True,False
CCP's EVE Online Online gaming MMORPG,26000,Unofficial,True,False
e-mail message submission[22] (SMTP),587,Official,True,False
Synergy: keyboard/mouse sharing software,24800,Unofficial,False,False
DART Reporting server[citation needed],18180,Unofficial,True,False
GoToMyPC,8200,Unofficial,True,False
Instrument Neutral Distributed Interface,7624,Official,True,True
Extensible Messaging and Presence Protocol (XMPP) XEP-0124: Bidirectional-streams Over Synchronous HTTP (BOSH),5280,Official,True,False
Takenaka RDI Mirror World on SecondLife[citation needed],12998–12999,Unofficial,False,True
GFI EventsManager 7 & 8[citation needed],7787-7788,Official,True,False
Murealm Client[citation needed],41823,Unofficial,True,True
x3Lobby Used by x3Lobby, an internet application.,32123,Unofficial,True,False
MSSQL (Microsoft SQL Server database management system) Monitor,1434,Official,True,True
id Software's QuakeWorld,27500-27900,Unofficial,False,True
MSSQL (Microsoft SQL Server database management system) Server,1433,Official,True,False
Reverse Gossip Transport Protocol (RGTP), used to access a General-purpose Reverse-Ordered Gossip Gathering System (GROGGS) bulletin board, such as that implemented on the Cambridge University's Phoenix system,1431,Official,True,False
Peercast[citation needed],7144,Unofficial,True,False
Peercast[citation needed],7145,Unofficial,True,False
Killing Floor,8075,Unofficial,True,False
Miralix IVR and Voicemail[citation needed],3017,Unofficial,True,False
Starsiege: Tribes Common/default Tribes v.1 Server,28001,Unofficial,False,False
Bitfighter Common/default Bitfighter Server,28000,Unofficial,False,False
Armagetron Advanced default server port,4534,Unofficial,False,True
TheòsMessenger third port for service TheòsMessenger[citation needed],43048,Official,True,False
KGS Go Server,2379,Unofficial,True,False
rsync file synchronization protocol,873,Official,True,False
rlogin,513,Official,True,False
Who[21],513,Official,False,True
TheòsMessenger second port for service TheòsMessenger[citation needed],43047,Official,True,False
Default for BMC Software Control-M/Server—to allow the Control-M/Enterprise Manager to connect to the Control-M/Server, though often changed during installation,2370,Official,True,False
Opsware agent (aka cogbot),1002,Unofficial,True,False
Talk,517,Official,False,True
